,title,keywords
88,"Further delineation of the MECP2 duplication syndrome phenotype in 59 French male patients, with a particular focus on morphological and neurological features.",MECP2duplication syndrome and MECP2gene and X-linked and Xq28 duplication and facial dysmorphism and genetic counselling
89,"Suicidal ideation in treatment-seeking Veterans of Operations Enduring Freedom and Iraqi Freedom: the role of coping strategies, resilience, and social support.",NA
90,The effect of being imitated on empathy for pain in adults with high-functioning autism: Disturbed self-other distinction leads to altered empathic responding.,*autism spectrum disorders and *empathy for pain and *imitation and *psychophysiology and *self–other distinction and *social cognition and social behavior
91,Panic disorder in children and adolescents with noncardiac chest pain.,NA
92,High-Throughput Automated Phenotyping of Two Genetic Mouse Models of Huntington's Disease.,NA
93,How Accurately Do Consecutive Cohort Audits Predict Phase III Multisite Clinical Trial Recruitment in Palliative Care?,Randomized controlled trial and audit and palliative care and prediction and recruitment and screening
94,The Relevance of Bionian Thinking to the Treatment of PTSD Patients.,*K and *PTSD and *alpha function and *catastrophic change and *dissociation and *narrative exposure therapy
95,Long-term cognitive and somatic outcomes of enzyme replacement therapy in untransplanted Hurler syndrome.,"CNS, central nervous system and Cognitive decline and ERT, Enzyme replacement therapy and Enzyme replacement therapy and HCT, hematopoietic cell transplantation and MPS I, Mucopolysaccharidosis Type I and MPS IH, Mucopolysaccharidosis Type IH, Hurler Syndrome and MPS, Mucopolysaccharidosis and MRI, magnetic resonance imaging and Mucopolysaccharidosis and Newborn screening"
96,Recovery following desflurane versus sevoflurane anesthesia for outpatient urologic surgery in elderly females.,Anesthesia and Care Postoperative and Complications and Delirium
97,What counts? Visual and verbal cues interact to influence what is considered a countable thing.,NA
98,Efficacy of temporary work modifications on disability related to musculoskeletal pain or depressive symptoms--study protocol for a controlled trial.,EPIDEMIOLOGY and Job accommodation and MENTAL HEALTH and Return to work
99,Frailty and Quality of Life in Older Adults with Metabolic Syndrome - Findings from the Healthy Older People Everyday (HOPE) Study.,Frailty and activities of daily living and depression and metabolic syndrome and quality of life
100,The Use of the MyoDK for Mechanical Pressure in the Treatment of Chronic Lateral Epicondylalgia: A Pilot Study.,Epicondylalgia treatment and Manual therapy and Transverse pressure
101,[Methohexital for analgosedation of ventilated intensive care patients : prospective nonrandomized single center observational study on incidence of delirium].,NA
102,Pure adult-onset spastic paraplegia caused by a novel mutation in the KIAA0196 (SPG8) gene.,NA
103,First neuropathological description of a patient with Parkinson's disease and LRRK2 p.N1437H mutation.,NA
104,Sex-Dependent Shared and Nonshared Genetic Architecture Across Mood and Psychotic Disorders.,Bipolar disorder and Genome-wide association study and Genotype-by-sex interaction and Major depressive disorder and Schizophrenia and Sex differences
105,Cohort Profile: a population-based cohort to study non-motor symptoms in parkinsonism (EPIPARK).,NA
106,Pre- and post- GPi DBS neuropsychological profiles in a case of X-linked dystonia-Parkinsonism.,NA
107,Using psychometric ability to improve education in ultrasound-guided regional anaesthesia: a multicentre randomised controlled trial.,*deliberate practice and *medical education and *regional anaesthesia and *ultrasound-guided regional anaesthesia and *visuospatial ability
108,Incidence of postoperative cognitive dysfunction after general or spinal anaesthesia for extracorporeal shock wave lithotripsy.,cognition and general anaesthesia and postoperative cognitive dysfunction and spinal anaesthesia
109,Altering intensive care sedation paradigms to improve patient outcomes.,NA
110,"Investigation of Childhood Lead Poisoning from Parental Take-Home Exposure from an Electronic Scrap Recycling Facility — Ohio, 2012.",NA
111,Brain-computer interface targeting non-motor functions after spinal cord injury: a case report.,NA
112,The Evolutionary History of Common Genetic Variants Influencing Human Cortical Surface Area.,cortical surface area and genome-wide association study and human gained enhancers and polygenic selection
113,"Dysmorphic features, cognitive disability, chronic inflammation, and predisposition to vascular disease in two sisters: a new autosomal recessive disorder?",NA
114,The prevalence of painful physical symptoms in major depressive disorder: A systematic review and meta-analysis of observational studies.,Major depressive disorder and Meta-analysis and Painful physical symptoms and Prevalence
115,Behavioral pharmacogenetic analysis on the role of the α4 GABA(A) receptor subunit in the ethanol-mediated impairment of hippocampus-dependent contextual learning.,NA
116,Malnutrition is not related with emergence delirium in older patients after noncardiac surgery.,*Emergence delirium and *Malnutrition and *Non-cardiac surgery and *Nutritional risk screening 2002 and *Older patient
117,Screening for pain in patients with cognitive and communication difficulties: evaluation of the SPIN-screen.,NA
118,"A randomized, placebo-controlled trial of repeated IV antibiotic therapy for Lyme encephalopathy.",NA
119,Differences in high and low anxiety sensitive women's responses to a laboratory-based cold pressor task.,NA
120,Screening housing to prevent lead toxicity in children.,NA
121,Which mini-mental state exam items can be used to screen for delirium and cognitive impairment?,NA
122,Music improves sleep quality in older adults.,NA
123,Genomics and variation of ionotropic glutamate receptors.,NA
124,"Attitudes of health care trainees about genetics and disability: issues of access, health care communication, and decision making.",Empirical Approach and Genetics and Reproduction
125,Central neurological abnormalities and multiple chemical sensitivity caused by chronic toluene exposure.,NA
126,Effect of topical nasal corticosteroids on patients with chronic fatigue syndrome and rhinitis.,NA
127,Relation of psychopathology in general medical inpatients to use and cost of services.,NA
128,Normal and pathological nostalgia.,NA
129,Diagnostic accuracy of gray scale muscle ultrasound screening for pediatric neuromuscular disease.,all neuromuscular disease and all pediatric and gray scale analysis and screening tool and ultrasound
130,"Quality of life, developmental milestones, and self-esteem of young adults with congenital hypothyroidism diagnosed by neonatal screening.",NA
131,Distress screening in a multidisciplinary lung cancer clinic: prevalence and predictors of clinically significant distress.,NA
132,Perception of health-related quality of life and psychological status in oldest hospitalized patients without cognitive impairment.,NA
133,Diversity matters: Unique populations of women and breast cancer screening.,NA
134,The detection of panic disorder in chest pain patients.,NA
135,Hypnotic versus active cognitive strategies for alleviation of procedural distress in pediatric oncology patients.,NA
136,Organic solvent-induced encephalopathy in industrial painters.,NA
137,The prevalence of fatigue among Chinese nursing students in post-COVID-19 era.,COVID-19 pandemic and Fatigue and Nursing students and Quality of life
138,Health promotion and preventive health care service guidelines for the care of people with spina bifida.,*Spina bifida and *disabilities and *health promotion and *myelomeningocele and *preventative health
139,Sexual function questionnaire: further refinement and validation.,NA
140,Medical marijuana: the conflict between scientific evidence and political ideology. Part one of two.,NA
141,The impact of viewing a hysteroscopy on a screen on the patient's experience: a randomised trial.,NA
142,Non-motor symptoms in Parkinson's disease.,NA
143,Aortic arch atheroma: stroke reduction in cardiac surgical patients.,NA
144,"Comparative study of electronic vs. paper VAS ratings: a randomized, crossover trial using healthy volunteers.",NA
145,Comparing neuropsychological and psychiatric evaluation of competency in rehabilitation: a case example.,NA
146,"A critique of instruments and methods to detect, diagnose, and rate delirium.",NA
147,The cognitive arrest hypothesis of denial.,NA
148,Attenuation of Pain Perception Induced by the Rubber Hand Illusion.,analgesic and body ownership and laser evoked pain and pain perception and rubber hand illusion
149,Identification of small molecules that selectively inhibit diacylglycerol lipase-α activity.,2-arachidonoyl-glycerol (2-AG) and HTS and diacylglycerol lipase–α (DAGL-α) and enzyme and inhibitor
150,Head and neck specific Health Related Quality of Life scores predict subsequent survival in successfully treated head and neck cancer patients: a prospective cohort study.,NA
151,Using electrophysiology and in silico three-dimensional modeling to reduce human Ether-à-go-go related gene K(+) channel inhibition in a histamine H3 receptor antagonist program.,NA
152,Sickle-cell disease.,NA
153,Discovery and characterization of non-ATP site inhibitors of the mitogen activated protein (MAP) kinases.,NA
154,Reducing delirium in elderly patients with hip fracture: a multi-factorial intervention study.,NA
155,Neuropsychological predictors of quality of life in focal epilepsy.,NA
156,Symptom screening in detection of occupational solvent-related encephalopathy.,NA
157,Diagnostic evaluation using whole-body technetium bone scan in children with cerebral palsy and pain.,NA
158,Screening for distress in patients with brain cancer using the NCCN's rapid screening measure.,NA
159,Thoracolumbar fracture in blunt trauma: is clinical exam enough for awake patients?,NA
160,[Deficiencies in treating pain of elderly people suffering from a severe cognitive impairment].,NA
161,[Disorders of neurocognitive function after coronary artery bypass grafting].,NA
162,[Disease specific stress of tumor patients at the beginning of radiotherapy. Effects on psychosocial support requirement].,NA
163,Psychopathology and pain in medical in-patients predict resource use during hospitalization but not rehospitalization.,NA
164,Cognitive and physiological feedback on cold pain tolerance.,NA
165,The continuing hazard of lead exposure and its effects in children.,NA
166,Painful truths about depressives' cognitions.,NA
167,Cognitive changes during the menstrual cycle.,NA
